color,score,opening,opening_name,moves,date,time_control,moves_pgn,white_elo,black_elo,elo
black,win,e4 e6 d3 d5,French Defence,37,2016.06.17,300+0,e4 e6 d3 d5 Qe2 dxe4 dxe4 Nc6 Nf3 Bc5 Nbd2 Nf6 g3 O-O Bg2 Nd4 Nxd4 Bxd4 c3 Bb6 O-O e5 Rd1 Qe7 Nf3 Bg4 h3 Bh5 Bg5 Rfd8 g4 Bg6 Nh4 Qc5 Bxf6 gxf6 Nf5 Rxd1+ Rxd1 a5 h4 c6 h5 Bxf5 gxf5 h6 Qg4+ Kh7 Qh4 Rg8 Rd7 Rg7 Rd2 Qe7 Kh2 Rg5 f4 exf4 Bf3 Be3 Rd3 Qc5 Rd7 Kg7 Rxb7 Bd2 Bg2 f3 Bxf3 Qg1+ Kh3 Qf1+ Kh2,2026,1939,1939
black,draw,e4 e5 Nf3 Nc6,Ruy Lopez: Morphy Defence,59,2016.06.17,300+0,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 O-O Qd6 d3 Bg4 Be3 Nf6 Nc3 Be7 Qe2 O-O h3 Bh5 g4 Bg6 Rad1 Rad8 d4 exd4 Rxd4 Qe6 Ng5 Qc8 Rxd8 Rxd8 e5 Nd5 Nxd5 cxd5 f4 h6 Nf3 Be4 Nd4 c5 Nf3 b5 c3 Qb7 Nd2 Bc2 f5 d4 cxd4 cxd4 Bf4 Bc5 Kh2 Qd5 Nf3 d3 Qg2 Qe4 Bd2 f6 e6 Bd6+ Kh1 Qe2 Qxe2 dxe2 Re1 Bd3 Kg2 Kf8 Nh4 Rc8 Bc3 b4 Ng6+ Ke8 Bd2 Rc2 Bc1 Be4+ Kf2 Bc5+ Kg3 a5 Nf4 Bd6 Kf2 Bxf4 Bxf4 Rxb2 Rxe2 Bd5 Bc7 Rxe2+ Kxe2 Bxa2 Bxa5 b3 Kd2 b2 Kc2 b1=Q+ Kc3 Qb3+ Kd4 Qxh3 Bc3 Qxg4+ Kc5 Qxf5+ Kd6 Qxe6+ Kc5 Qc8+ Kd4,1943,1888,1888
black,win,e4 e5 Bc4 Nf6,Unknown,24,2016.06.17,180+0,e4 e5 Bc4 Nf6 f3 Bc5 Ne2 d6 d4 exd4 Nxd4 O-O c3 a6 O-O b5 Bb3 Bb7 Be3 Nc6 Nc2 Qe7 Bxc5 dxc5 Ne3 Rad8 Qe2 Ne5 Bc2 c4 Nd2 Qc5 Rad1 Nh5 Kh1 Nf4 Qf2 Ned3 Qg3 Qxe3 Bxd3 Nxd3 f4 Qxg3 hxg3 Rd6 Nf3,1732,1927,1927
black,loss,e4 c5 Nf3 Nc6,Sicilian: Closed Variation,59,2016.06.17,180+0,e4 c5 Nf3 Nc6 Nc3 d6 d4 cxd4 Nxd4 g6 Be3 Bg7 Qd2 Qb6 O-O-O Qc7 Bb5 Bd7 f3 a6 Bxc6 bxc6 Nb3 c5 Nd5 Qb7 Qa5 Rc8 Nb6 Rb8 Nxd7 Kxd7 Bxc5 Nf6 Bxd6 exd6 e5 Ne8 Nc5+ Kc8 Nxb7 Bh6+ Kb1 Rxb7 Qxa6 dxe5 Rd5 Nc7 Rc5 Kb8 Rd1 Nxa6 Rxe5 Bg7 Ra5 Ka7 b3 Rhb8 Rd6 Rb6 Rd7+ R8b7 Rxb7+ Kxb7 a4 Nb4 Rc5 Rc6 Rb5+ Kc7 a5 Rxc2 Rc5+ Rxc5 a6 Kb8 a7+ Kxa7 f4 Rb5 g4 Rc5 f5 Nd3 Ka2 Ne1 b4 Nd3 Kb3 Rc6 b5 Rc8 Ka4 Kb6 f6 Nc5+ Kb4 Nd3+ Kb3 Ra8 Kc3 Ra1 Kc4 Ra3 fxg7 Ra2 Kxd3 Rxh2 g8=Q Rh4 Qb8+ Ka5 Qe5 Kb4 Qc7 Ka3 Qc4,1910,1724,1724
black,win,e4 e6 d4 d5,French Defence: Standard,9,2016.06.17,180+0,e4 e6 d4 d5 Nc3 Bb4 exd5 exd5 Nf3 Nf6 Be2 Bf5 O-O O-O Bg5 Nbd7,1989,1861,1861
