color,score,opening,opening_name,moves,date,time_control,moves_pgn,white_elo,black_elo,elo,platform
black,win,e4 d5 exd5 Nf6,Scandinavian Defence,56,2023.02.03,600,e4 d5 exd5 Nf6 Nc3 Bg4 f3 Bh5 g4 Bg6 Bc4 c6 dxc6 Nxc6 d4 e6 Be3 Bb4 Qd2 O-O O-O-O e5 dxe5 Nxe5 f4 Nxc4 Qxd8 Rfxd8 Bd4 Nxg4 Nf3 Nf2 Rhf1 Nxd1 Rxd1 Bxc3 Bxc3 Rxd1+ Kxd1 Rd8+ Kc1 Re8 b3 Re1+ Nxe1 Na3 Kb2 Nb5 a4 Nxc3 Kxc3 a5 Nf3 f5 Kb2 Bh5 Ng5 h6 Ne6 b6 c3 Bf7 b4 Bxe6 bxa5 bxa5 Kc2 h5 Kd3 h4 c4 h3 c5 Bd7 Kd4 Kf8 Kd5 Ke7 Ke5 g6 Kd5 g5 fxg5 f4 Ke4 Bxa4 Kxf4 Be8 Kf5 a4 c6 Bxc6 g6 Kf8 Kf6 Bd5 g7+ Kg8 Kg6 a3 Kh6 a2 Kg6 a1=Q Kh6 Qxg7+ Kh5 Bf3+ Kh4 Qg4#,660,637,637,chess.com
black,draw,e4 e5 Nf3 Nc6,Italian Game: Two Knights Defence,59,2023.02.04,300,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 Bc5 Nxf7 Be3 Nxd8 Bxf2+ Kxf2 Nxe4+ Ke1 Kxd8 Qg4 d5 Bxd5 Bxg4 d3 Nd6 Bxc6 bxc6 Nc3 h6 h3 Bf5 Rf1 Re8 g4 Bg6 h4 h5 gxh5 Bxh5 Ne4 Nb5 Rf5 Nd4 Rxh5 Nxc2+ Kd1 Nxa1 b3 a5 Bb2 a4 bxa4 Rxa4 Bxa1 Rxa2 Bc3 Ra3 Rh7 Re7 h5 Kd7 Nc5+ Kd8 Rh8+ Re8 Rh7 Re7 Rh8+ Re8 Rh7 Rg8 Bxe5 Ra4 Rxg7 Ra1+ Kc2 Rxg7 Bxg7 Rh1 h6 Ke7 Ne4 Kf7 Be5 Rxh6 Bxc7 Rh2+ Kc3 Ke7 Kc4 Rc2+ Kd4 Kd7 Be5 Ke6 Bh2 Rxh2 Kc5 Rc2+ Kd4 Ra2 Kc5 Rc2+ Kd4 Ra2 Ng3 Ra4+ Kc3 c5 Ne2 Kd5 d4 Ra3+ Kd2 c4 Nc3+ Kxd4 Nb5+ Kc5 Nxa3,592,613,613,chess.com
black,win,e4 e5 Nf3 d6,Unknown,14,2023.02.04,600,e4 e5 Nf3 d6 Nc3 Nc6 Bc4 Nf6 O-O d5 exd5 Nb4 Nxe5 Bf5 d6 Qxd6 Nxf7 Qd4 Nxh8 Qxc4 d3 Qg4 f3 Qd4+ Kh1 O-O-O,652,655,655,chess.com
black,win,e4 e5 Nf3 Nc6,Italian Game: Two Knights Defence,42,2023.02.04,600,e4 e5 Nf3 Nc6 Bc4 Nd4 Nc3 Nxf3+ gxf3 Nf6 d3 Bb4 Bd2 O-O Qe2 c6 O-O-O d5 Bb3 Be6 exd5 cxd5 Bg5 d4 Qxe5 dxc3 bxc3 Ba3+ Kb1 Bd6 Bxf6 Bxe5 Bxd8 Raxd8 Bxe6 fxe6 Rhe1 Bxh2 Rxe6 Rxf3 Rde1 Rxf2 Re7 Rb8 c4 Rf6 a4 Rb6+ Ka2 Ra6 c5 Rxa4+ Kb3 Ra5 d4 g5 Re8+ Rxe8 Rxe8+ Kf7 Re2 Bc7 Rf2+ Kg6 c3 b6 c6 g4 Rf8 h5 Rg8+ Kh6 c4 g3 Rxg3 Bxg3 d5 h4 Kb4 h3 c5 Rxc5,661,660,660,chess.com
black,win,d4 e5 dxe5 Bc5,Unknown,31,2023.02.04,600,d4 e5 dxe5 Bc5 e3 d6 exd6 cxd6 c3 Nf6 Na3 O-O e4 Nxe4 Qf3 Nxf2 Nh3 Nxh1 Nc4 Nc6 Ne3 Ne5 Qe4 Re8 Qa4 Bd7 Qb3 Bxe3 Bxe3 Nf3+ gxf3 Rxe3+ Be2 Bxh3 O-O-O Rxe2 Rxh1 Bg2 Rg1 Bxf3 c4 Be4 Qc3 g6 Kd1 Rxh2 Re1 Bf3+ Qxf3 Qg5 Qxb7 Qg4+ Kc1 Qf4+ Kb1 Qd2 Qxa8+ Kg7 Qe4 Qxb2#,661,668,668,chess.com
black,win,e4 e5 Nf3 Nf6,Unknown,16,2023.02.05,600,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qe2 d5 c4 Nc6 cxd5 Qxd5 Nxc6 Qxc6 Nc3 Bf5 d4 O-O-O g3 Nxc3 bxc3 Qxc3+ Bd2 Qxa1+ Qd1 Qxd4 Bg2 Bb4 Bxb4 Qxd1#,661,702,702,chess.com
black,loss,e4 e5 Nf3 Nc6,Unknown,59,2023.02.05,600,e4 e5 Nf3 Nc6 Nc3 Nf6 d4 d5 dxe5 dxe4 exf6 Qxd1+ Nxd1 exf3 fxg7 Bxg7 gxf3 Bf5 Bd3 Bxd3 cxd3 O-O-O Bg5 Rxd3 Ne3 Bxb2 Rd1 Ne5 Bf6 Rxd1+ Nxd1 Re8 Nxb2 Nd3+ Kd2 Nxb2 Bxb2 Rd8+ Kc2 c5 h4 Rd6 Ba3 Rc6 Rc1 a5 Kb3 b6 Ka4 Kb7 h5 Ka6 f4 b5+ Kb3 b4 Bb2 Kb6 Re1 Rh6 Re7 f5 Re5 Rxh5 Re6+ Kb5 a4+ bxa3 Bxa3 h6 Re5 Kc6 Rxc5+ Kb6 Ka4 Rh2 Rxa5 Rxf2 Rxf5 Rh2 Rb5+ Kc6 Rc5+ Kd6 Rh5+ Ke6 Rxh2 Kf5 Bc1 Kg4 Rxh6 Kf5 Rh1 Kg4 Rg1+ Kf5 Rf1 Kg4 f5 Kh5 f6 Kg6 f7 Kh7 Rh1+ Kg7 Rf1 Kf8 Kb5 Kg7 f8=Q+ Kh7 Qf2 Kg8 Qg2+ Kh8 Rh1#,670,653,653,chess.com
black,loss,e4 e5 Qh5 Nc6,Unknown,16,2023.02.05,600,e4 e5 Qh5 Nc6 Bc4 g6 Qf3 Nf6 c3 Bc5 Ne2 O-O O-O Na5 d4 Bb6 Bh6 Re8 Bg5 Re6 Bxe6 dxe6 dxe5 Nc4 Nd4 Bxd4 cxd4 Qxd4 Rd1 Nxe5,695,646,646,chess.com
black,loss,d4 e5 dxe5 Bc5,Unknown,52,2023.02.05,600,d4 e5 dxe5 Bc5 Qd5 Qe7 a3 c6 Qe4 d5 Qf4 f6 b4 fxe5 Qg3 Bd4 Ra2 Nf6 e3 Bc3+ Nd2 Ne4 Qf3 Nf6 Ne2 Bxd2+ Bxd2 O-O g3 Ne4 Qg2 Bg4 h3 Nxf2 Rh2 Bxe2 Bxe2 Ne4 Qg1 Nd7 Bd3 Nxd2 Kxd2 c5 Ra1 cxb4 axb4 a5 bxa5 b6 Rf1 Rxf1 Qxf1 Rxa5 Rf2 Nc5 h4 e4 Be2 d4 exd4 e3+ Ke1 exf2+ Qxf2 Ne4 Qe3 Ra1+ Bd1 Rxd1+ Kxd1 Nxg3 Qxe7 h6 Qd8+ Kh7 Qd6 g5 Qxg3 gxh4 Qxh4 b5 d5 b4 Qxb4 h5 d6 Kh6 d7 Kg5 d8=Q+ Kh6 Qe4 h4 Qf8+ Kg5 Qef4+ Kh5 Qg8 h3 Qfg3 h2 Qh8#,672,638,638,chess.com
black,loss,e4 e5 Nf3 Bc5,Unknown,33,2023.02.05,600,e4 e5 Nf3 Bc5 Nxe5 d6 Nd3 b6 Nc3 Bb7 Nf4 Nf6 Bb5+ Nc6 O-O a6 Bxc6+ Bxc6 d4 Bb4 d5 Bb7 a3 Bxc3 bxc3 c6 dxc6 Bxc6 Be3 Bxe4 Rc1 O-O Qd4 d5 f3 Bg6 c4 dxc4 Qxc4 Nd5 Nxd5 Re8 Rfe1 Re5 Nf4 Rc8 Qxa6 Rxc2 Nxg6 Rxc1 Rxc1 fxg6 Bxb6 Qd2 Rc8+ Kf7 Rc7+ Kf6 Ba5+ Kg5 Bxd2+ Kf5 Rxg7 h5 Qxg6#,647,661,661,chess.com
black,loss,d4 e5 Bf4 exf4,Unknown,28,2023.02.05,600,d4 e5 Bf4 exf4 e3 fxe3 fxe3 Nc6 Bc4 Nf6 Nh3 d5 Bb3 Bxh3 gxh3 Bd6 a3 O-O Nc3 a6 Nxd5 Nxd5 Bxd5 Bxa3 bxa3 Qxd5 Kd2 Qe6 Qf3 Ne5 Qxb7 Nc4+ Kd3 Ne5+ Kd2 Ng6 Qxc7 Rfe8 Rae1 Nh4 Qf4 g6 Qxh4 Qxe3+ Rxe3 Rxe3 Kxe3 Re8+ Kd3 g5 Qxg5+ Kf8 Rg1 f6 Qg7#,642,639,639,chess.com
