color,score,opening,opening_name,moves,date,time_control,moves_pgn,white_elo,black_elo,elo
black,loss,e4 e6 d4 c6,French Defence,24,2013.10.22,600+5,e4 e6 d4 c6 c4 a6 a3 h6 Nc3 Be7 Bd3 Bg5 f4 Bf6 e5 Bh4+ g3 Be7 Qg4 Bf8 Ne4 h5 Nd6+ Bxd6 Qxg7 Bxe5 fxe5 Qe7 Qxh8 Qf8 c5 a5 Nf3 Ne7 Qxh5 Nd5 O-O b6 Ng5 Ba6 Bxa6 Nxa6 cxb6 O-O-O Nxf7 Kb7 Nd6+,1939,1739,1739
white,loss,e4 e5 Nf3 Nc6,Unknown,9,2013.10.22,600+5,e4 e5 Nf3 Nc6 a3 a6 Bc4 Nd4 Nxe5 Qg5 Nxf7 Qxg2 Rf1 Qxe4+ Be2 Nf3#,1746,1922,1746
white,win,e4 c5 Bc4 e6,Sicilian Defence,24,2013.10.19,360+5,e4 c5 Bc4 e6 d4 cxd4 Qxd4 Nc6 Qd1 Nf6 Nc3 a6 Bg5 Be7 Bf4 d6 Qf3 O-O a3 b5 Ba2 Bb7 Qg3 Kh8 Nh3 Nh5 Qg4 Nxf4 Nxf4 Ne5 Qe2 Bg5 Nh3 Bh6 Rd1 Qc7 O-O Rac8 Qh5 Qc5 Qe2 f5 Bxe6 fxe4 Bxc8 Qxc8 Nxe4,1728,1826,1728
black,win,e4 e6 d4 a6,French Defence,36,2013.10.19,480+5,e4 e6 d4 a6 Nf3 h6 Bd3 c6 Be3 d5 e5 Nd7 Nc3 c5 dxc5 Nxc5 Bxc5 Bxc5 a3 Ne7 O-O O-O b4 Ba7 h3 Bd7 a4 Qc7 Qd2 f6 b5 fxe5 bxa6 e4 axb7 Qxb7 Rab1 Qc7 Bxe4 dxe4 Nh4 Bc6 Rb4 Qg3 Nxe4 Qxh4 Kh2 Bb8+ g3 Qh5 f4 Bc7 Kg2 Ba5 g4 Qe8 Kg3 Bxe4 c3 Bxb4 cxb4 Rxa4 Qe3 Rxb4 f5 Qb5 Rc1 Rb3 Qxb3 Qxb3+,1637,1717,1717
black,loss,e4 e6 f4 a6,French Defence,16,2013.10.19,600+0,e4 e6 f4 a6 Nf3 Bd6 d4 c6 e5 Be7 Bd3 c5 c3 cxd4 Nxd4 Qa5 b4 Qb6 Be3 Qd8 O-O b5 Qh5 Bb7 f5 Qc7 Bd2 Qxe5 fxe6 g6 Qxe5,1784,1729,1729
